Designator,Mid X,Mid Y,Layer,Rotation
,3.458661,-0.791339,T,0.0
C1,7.275591,-5.332185,T,90.0
C2,7.583169,-5.535433,T,0.0
C3,6.266043,-4.524,T,180.0
C4,6.263957,-4.24,T,180.0
C5,7.448819,-5.663878,T,-90.0
C6,6.266043,-4.428,T,180.0
C7,6.261043,-4.16,T,180.0
C8,6.511154,-4.912,T,0.0
C9,6.270043,-4.334,T,180.0
C10,6.243602,-4.059055,T,180.0
C11,6.508043,-4.776,T,0.0
C12,6.244094,-3.886319,T,-90.0
C13,6.472933,-3.403543,T,180.0
C14,6.622047,-3.749508,T,-90.0
C15,6.510043,-4.838,T,0.0
C16,6.05,-4.390846,T,-90.0
C17,6.314961,-3.902067,T,-90.0
C18,6.481791,-3.478346,T,180.0
C19,6.419291,-3.71063,T,180.0
C20,6.342,-4.810043,T,-90.0
C21,6.235957,-4.756,T,180.0
C22,5.809843,-2.897343,T,-90.0
C23,5.872835,-2.900098,T,-90.0
C29,7.19439,-3.061024,T,180.0
C30,7.198327,-3.233268,T,180.0
C31,6.44,-2.195846,T,-90.0
C32,7.90748,-4.660925,T,-90.0
C33,7.994094,-3.986713,T,-90.0
C34,7.647146,-5.100394,T,180.0
C35,6.119,-4.737957,T,-90.0
C36,5.594488,-2.673649,T,-90.0
C37,5.667323,-2.667605,T,-90.0
D1,5.998031,-1.401575,T,180.0
D2,6.146654,-1.724409,T,0.0
J1,6.319685,-5.458268,T,180.0
Q1,5.896929,-2.33,T,180.0
R1,5.990157,-4.218012,T,90.0
R2,6.159,-4.446925,T,90.0
R3,6.125,-4.306925,T,90.0
R4,6.114075,-4.191,T,0.0
R5,6.216043,-4.590551,T,0.0
R6,7.335138,-5.498031,T,0.0
R7,6.039862,-4.03937,T,0.0
R8,7.334154,-5.612205,T,0.0
R9,7.334154,-5.433071,T,0.0
R10,4.351378,-4.742618,T,-90.0
R11,6.24663,-4.674,T,0.0
R12,6.407,-4.800925,T,90.0
R13,5.812992,-3.969488,T,-90.0
R14,5.662992,-2.824101,T,-90.0
R15,8.153543,-5.440945,T,-90.0
R16,7.438976,-4.903543,T,-90.0
R17,8.027559,-4.259843,T,0.0
R18,7.722441,-4.44685,T,0.0
R19,8.023622,-5.687008,T,180.0
R20,5.840846,-2.998425,T,0.0
R21,6.61811,-2.167323,T,90.0
R22,6.035039,-2.82628,T,90.0
R23,4.352362,-5.063484,T,-90.0
R24,5.96752,-2.033465,T,180.0
REF**,8.464567,-5.748031,T,0.0
REF**,8.464567,-0.748031,T,0.0
REF**,3.464567,-5.748031,T,0.0
U1,6.53,-3.56,T,90.0
U2,7.721654,-4.643504,T,180.0
U3,7.658858,-4.916142,T,90.0
U4,5.847441,-2.703609,T,0.0
U5,8.174016,-3.980118,T,180.0
